"投稿日時","text"
"2025/09/06 19:21","ノンプログラマーズ・テックキャンプ、とても楽しかったです、ありがとうございました！"
"2025/09/06 13:20","本日はノンプログラマーズ・テックキャンプさんにお邪魔して書籍販売しております😊お気軽にお立ち寄りください✨"
"2025/09/06 23:14","数年ぶりにお会いする人もいて楽しかった。なによりコミュニティの熱量が程良く高いのがいいなと思いました。本編、懇親会、打ち上げまで参加しちゃいました。ありがとうございました。"
"2025/09/07 08:35","ポストイットたちー"
"2025/09/06 15:44","サイボウズのfactoryの部屋は天井から電源が取れる。発想の転換がすごいし、これがふつうだと思える内装の工夫が随所にあるな〜"
"2025/09/06 13:20","どれを学ぶか悩む"
"2025/09/07 17:15","昨日の朝10時。あの一瞬で過ぎていった宝物のような時間は、ここから始まったのでした。感慨深いですなぁ"
"2025/09/07 08:49","おはようございます🌺昨日は初めましての方も、お久しぶりの方もお話できて楽しかったです！朝起きて、ゆるりと心があたたまっている感覚がありました😊そして、昨日話を聞いてくださったみなさん、ありがとうございました！"
"2025/09/05 18:05","ついに明日は、ノンプロキャンプ 2025！ 200 名満員御礼！ 🎉私は本イベント内の AppSheet ハンズオン セッションで講師を担当させていただきます！楽しみです！"
"2025/09/06 14:53","みなさんもくもく中！"
"2025/09/06 16:26","おおおおお〜〜〜"
"2025/09/06 20:16","退出！ありがとうございました！"
"2025/09/06 14:45","表計算ソフトはすべてのデジタルスキルの基礎が凝縮されている。"
"2025/09/06 12:52","名札は今日のパスポート"
"2025/09/06 18:37","ノンプロキャンプで、コンマリさんの作ってくれた素敵なイラスト達とパチっ"
"2025/09/06 12:47","書籍も販売していますよ〜よろしくお願いします！"
"2025/09/07 08:35","昨日のポストイットたち"
"2025/09/06 14:13","@a03のセッション開始入会当初にとんでもない量の質問をしてどんどん理解を深め、スキルアップ街道を駆け上がっていった人質問は正義！正義よね！！ "
"2025/09/06 17:03","『ChatGPTで身につけるGoogle Apps Script』、残り2冊になりました！気になってる方はお早めにどうぞ！"
"2025/09/06 15:58","そんなにアプリ化できるんだね・・・"
"2025/09/06 11:26","皆さん、ついに ノンプロキャンプ 当日ですね。現在サイボウズ様のオフィスでは、運営メンバーによる準備が進行中です！気を付けてお越しください😊"
"2025/09/06 13:24","ノンプロキャンプに参加しています！どんな学びがあるんだろう？楽しみです。"
"2025/09/06 13:35","サイボウズのオフィス、ほんと素敵！オフィス感ゼロで森の中にいるみたい。会場は3ステージにわけてタイムテーブルも組めて、本当に開放的な雰囲気が最高✨"
"2025/09/06 19:17","今日は女性陣から複数人にかっこいいですねって言われたので、嬉しいですー！はい、実はノンプロ研イチのイケメンですwww"
"2025/09/06 14:28","数年前にノンプロ研入ったら衝撃受けたazumiさん🍊"
"2025/09/06 13:08","ノンプログラマーとは、IT を本職にしない人たち。時間がない、学習方法がわからない、相談できない、評価されない。孤独で過酷 — なるほど感。2017 年からの集まりらしくて興味深いかもしれない。 "
"2025/09/06 15:44","人との縁が人生を変えるキッカケとなる。人との出会いを作れるがノンプロ研でもある。"
"2025/09/06 14:06","このセッションのタイムテーブル"
"2025/09/06 13:25","すごい！クマさんが作ったゲームアプリ、わくわく感が半端ない！"
"2025/09/06 16:43","話を聞いていて思い出した。かつて職場で働いてたとき、丸１日動かして目的を遂げるシステムがあって、普通に考えてもっと早く終わるのでは？と思って、業務時間外で試作してみたら10分で終わるものができたのを思い出した。これも業務改善みたいなものか。"
"2025/09/06 11:56","会場大体準備良さそー"
"2025/08/17 10:00","🎥 ノンプロキャンプのペルソナをアニメーション化✨1人目は 迷い人タイプ 🗺️最初は不安そうに迷っているけれど、やがて確信を持って前へ進む冒険者。🔹 迷い人タイプ🔹 挑戦者タイプ🔹 改革者タイプ🔹 指導者タイプあなたはどのタイプ？👀 "
"2025/09/06 12:36","ノンプロキャンプ研設営完了〜"
"2025/09/06 23:56","わーい🙌みなさん、ありがとうございましたー！！おやすみなさい😌"
"2025/09/06 13:02","ノンプロキャンプ 始まりました。"
"2025/09/06 14:05","ノンプロ研 は毎日のように何かしらのイベントや勉強会、講座が開催されています。カレンダーもとても賑やかですよ。 "
"2025/09/06 20:22","やっぱ原点はタカハシさんのブログ「隣IT」だよなぁ。あれを読んでVBAに対する取り組み方が変わったから。"
